Date,Open,High,Low,Close,Volume,MOM,Decis_macd,Decis_ema,Decis_cci,Decis_roc,Decis_wpr,Decis_atr
2012-11-12,176.0,178.5,175.0,178.5,4505000.0,1.5,1,2,0,0,0,3
2012-11-13,177.5,178.0,176.0,177.0,3787600.0,-0.5,1,2,0,0,0,3
2012-11-14,177.0,178.5,174.0,174.5,4650000.0,-2.5,1,2,0,0,2,3
2012-11-15,174.0,175.5,172.5,174.0,4574900.0,-2.5,1,2,0,0,0,3
2012-11-16,175.0,176.0,174.0,176.0,3170600.0,-3.5,1,2,0,0,0,3
2012-11-19,177.0,177.5,176.0,176.0,1520800.0,-2.0,1,2,0,0,0,3
2012-11-20,177.0,177.5,175.0,175.5,2594100.0,-1.0,1,2,0,0,0,3
2012-11-21,175.0,176.0,174.5,176.0,2467100.0,0.0,1,2,0,0,0,3
2012-11-22,176.5,180.0,176.5,178.0,7380600.0,3.5,1,2,0,0,0,3
2012-11-23,178.0,178.5,176.5,178.5,2416800.0,3.5,1,2,2,0,0,3
2012-11-26,179.0,180.0,178.5,179.5,2545900.0,1.0,1,2,0,0,1,3
2012-11-27,180.0,181.0,179.5,180.0,4612600.0,3.0,1,2,0,0,1,3
2012-11-28,179.0,181.5,178.5,180.5,3910900.0,6.0,1,2,0,0,1,3
2012-11-29,181.0,183.0,181.0,182.0,4404000.0,8.0,1,2,0,0,1,3
2012-11-30,183.0,185.0,182.0,183.0,6486200.0,7.0,1,2,0,0,1,3
2012-12-03,184.0,184.5,182.5,183.0,3839300.0,7.0,1,2,0,0,1,3
2012-12-04,182.5,183.0,181.5,181.5,3103600.0,6.0,1,2,0,0,0,3
2012-12-06,182.0,185.0,182.0,184.5,6624500.0,8.5,1,2,2,0,1,3
2012-12-07,186.0,188.0,185.0,185.0,8974400.0,7.0,1,2,0,0,0,3
2012-12-11,187.0,190.5,187.0,190.0,13485800.0,11.5,1,2,0,0,1,3
2012-12-12,191.0,192.5,190.0,192.0,8085000.0,12.5,1,1,0,0,1,3
2012-12-13,191.0,192.5,190.5,191.5,5895500.0,11.5,1,1,0,0,1,3
2012-12-14,191.0,194.0,191.0,193.0,5602300.0,12.5,1,1,0,0,1,3
2012-12-17,194.0,196.0,193.5,194.5,4013600.0,12.5,1,1,0,0,1,3
2012-12-18,196.0,198.0,195.0,196.5,9340500.0,13.5,1,1,0,0,1,3
2012-12-19,197.5,198.5,196.5,197.0,10213800.0,14.0,1,1,2,0,1,3
2012-12-20,196.5,197.5,195.5,197.0,3834200.0,15.5,1,1,2,0,1,3
2012-12-21,197.0,199.5,196.0,197.0,7024600.0,12.5,1,1,2,0,1,3
2012-12-24,197.0,198.0,196.5,196.5,1732800.0,11.5,1,1,0,0,1,3
2012-12-25,196.0,197.0,195.5,197.0,1091300.0,7.0,1,1,0,0,1,3
2012-12-26,196.5,198.0,196.0,197.0,1569500.0,5.0,1,1,0,2,1,3
2012-12-27,196.5,198.0,196.0,197.5,2614600.0,6.0,1,1,0,0,1,3
2012-12-28,198.0,198.0,195.5,195.5,1676900.0,2.5,1,1,0,0,0,3
2013-01-02,196.5,198.0,195.5,196.0,2809900.0,1.5,2,1,0,0,0,3
2013-01-03,195.5,196.5,194.0,194.0,7519800.0,-2.5,2,1,0,0,0,3
2013-01-04,193.0,197.0,191.5,197.0,9076000.0,0.0,2,1,0,0,0,3
2013-01-07,198.0,198.5,196.5,197.5,4570800.0,0.5,2,1,2,0,0,3
2013-01-08,197.0,198.0,196.5,197.5,3313300.0,0.5,2,1,0,0,0,3
2013-01-09,198.5,199.0,195.5,196.5,5806400.0,0.0,2,1,0,0,0,3
2013-01-10,196.0,201.0,195.5,196.5,12605100.0,-0.5,2,1,2,0,0,3
2013-01-11,197.0,197.5,195.0,196.0,4216700.0,-1.0,2,1,0,0,0,3
2013-01-14,196.5,197.5,195.0,197.0,1874600.0,-0.5,2,1,0,0,0,3
2013-01-15,197.0,197.5,195.0,196.5,3363700.0,1.0,2,1,0,0,0,3
2013-01-16,197.0,197.5,195.5,195.5,3501700.0,-0.5,2,1,0,0,0,3
2013-01-17,197.0,197.0,193.0,194.5,3863900.0,0.5,2,1,0,0,0,3
2013-01-18,198.0,198.0,193.5,194.5,5198000.0,-2.5,2,1,1,0,0,3
2013-01-21,196.0,196.5,194.0,196.0,2535900.0,-1.5,2,1,0,0,0,3
2013-01-22,195.5,198.5,195.5,196.0,4287800.0,-1.5,2,1,0,0,0,3
2013-01-23,197.5,197.5,193.0,195.0,5851200.0,-1.5,2,1,1,0,0,4
2013-01-24,195.0,195.5,193.0,194.5,3308700.0,-2.0,2,1,0,0,2,3
2013-01-25,197.0,203.0,196.5,202.0,10741400.0,6.0,2,1,0,0,1,4
2013-01-28,205.0,212.0,205.0,212.0,7160300.0,15.0,1,1,0,0,1,4
2013-01-29,213.0,213.0,206.0,208.0,4868100.0,11.5,1,1,0,2,0,5
2013-01-30,210.0,212.0,207.0,210.0,3765600.0,14.5,1,1,0,0,1,5
2013-01-31,210.0,212.0,207.0,209.0,4299200.0,14.5,1,1,2,2,0,5
2013-02-01,210.0,215.0,210.0,215.0,4903500.0,20.5,1,1,0,0,1,5
2013-02-04,217.0,220.0,216.0,219.0,5839300.0,23.0,1,1,0,0,1,5
2013-02-05,217.0,218.0,210.0,211.0,6805600.0,15.0,1,1,0,0,0,5
2013-02-06,212.0,213.0,209.0,210.0,3076400.0,15.0,1,1,0,0,0,5
2013-02-07,210.0,210.0,206.0,209.0,2618000.0,14.5,1,1,0,0,0,5
2013-02-08,207.0,213.0,206.0,209.0,3830200.0,7.0,1,1,0,0,0,5
2013-02-11,209.0,210.0,199.5,202.0,5318700.0,-10.0,2,1,0,0,0,6
2013-02-12,202.0,205.0,201.0,204.0,2619700.0,-4.0,2,1,0,0,0,6
2013-02-13,207.0,214.0,206.0,211.0,6080800.0,1.0,2,1,0,0,0,6
2013-02-14,214.0,214.0,210.0,214.0,3515700.0,5.0,2,1,0,0,0,6
2013-02-15,214.0,214.0,210.0,210.0,2000800.0,-5.0,2,1,0,0,0,6
2013-02-18,211.0,218.0,211.0,214.0,4115800.0,-5.0,2,1,2,0,0,6
2013-02-19,216.0,218.0,215.0,216.0,3122900.0,5.0,1,1,2,0,1,6
2013-02-20,218.0,222.0,216.0,222.0,4443100.0,12.0,1,1,0,0,1,6
2013-02-21,220.0,223.0,218.0,221.0,5454000.0,12.0,1,1,0,0,1,6
2013-02-22,220.0,229.0,219.0,226.0,5530700.0,17.0,1,1,0,0,1,6
2013-02-26,226.0,226.0,217.0,219.0,3851000.0,17.0,1,1,2,0,0,6
2013-02-27,220.0,220.0,216.0,218.0,2657100.0,14.0,1,1,0,0,0,6
2013-02-28,219.0,221.0,216.0,219.0,4015900.0,8.0,1,1,0,0,0,6
2013-03-01,219.0,225.0,219.0,224.0,6492000.0,10.0,1,1,2,0,1,6
2013-03-04,226.0,228.0,221.0,223.0,4336100.0,13.0,1,1,2,2,0,6
2013-03-05,225.0,225.0,221.0,225.0,4830100.0,11.0,1,1,2,0,1,6
2013-03-06,228.0,228.0,223.0,226.0,3105700.0,10.0,1,1,2,0,1,6
2013-03-07,226.0,226.0,219.0,219.0,4611500.0,-3.0,2,1,0,0,0,6
2013-03-08,220.0,222.0,219.0,221.0,2661500.0,0.0,2,1,0,0,0,6
2013-03-11,222.0,225.0,221.0,225.0,2176100.0,-1.0,2,1,0,0,0,6
2013-03-12,225.0,226.0,223.0,226.0,2019500.0,7.0,2,1,2,0,0,6
2013-03-13,227.0,229.0,225.0,226.0,3339900.0,8.0,2,1,0,0,0,6
2013-03-14,227.0,233.0,226.0,232.0,5628600.0,13.0,1,1,0,2,1,6
2013-03-15,232.0,233.0,230.0,233.0,4315700.0,9.0,1,1,0,0,1,6
2013-03-18,230.0,233.0,230.0,232.0,3749900.0,9.0,1,1,0,2,1,5
2013-03-19,234.0,236.0,227.0,228.0,3751200.0,3.0,1,1,2,0,0,6
2013-03-20,227.0,228.0,219.0,220.0,7376900.0,-6.0,2,1,0,0,2,6
2013-03-21,220.0,220.0,214.0,216.0,6780200.0,-3.0,2,1,0,0,2,6
2013-03-22,216.0,218.0,207.0,210.0,11876500.0,-11.0,2,1,0,0,2,6
2013-03-25,214.0,216.0,210.0,214.0,7394100.0,-11.0,2,1,0,0,0,6
2013-03-26,215.0,220.0,212.0,219.0,4575900.0,-7.0,2,1,0,0,0,7
2013-03-27,220.0,226.0,219.0,225.0,4163700.0,-1.0,2,1,0,0,0,7
2013-03-28,225.0,227.0,221.0,222.0,7674700.0,-10.0,2,1,0,0,0,7
2013-03-29,225.0,228.0,222.0,227.0,5029800.0,-6.0,2,1,0,0,0,7
2013-04-01,227.0,230.0,226.0,228.0,4326900.0,-4.0,2,1,0,0,0,6
2013-04-02,229.0,230.0,227.0,228.0,3981800.0,0.0,1,1,0,0,0,6
2013-04-03,230.0,236.0,227.0,230.0,7213500.0,10.0,1,1,2,0,0,7
2013-04-04,223.0,231.0,221.0,231.0,8622500.0,15.0,1,1,0,0,1,7
2013-04-05,227.0,233.0,223.0,227.0,8431100.0,17.0,1,1,0,0,0,7
2013-04-09,225.0,226.0,220.0,221.0,5158000.0,7.0,2,1,0,0,0,7
2013-04-10,220.0,220.0,216.0,219.0,5905600.0,0.0,2,1,0,0,0,7
2013-04-11,221.0,227.0,218.0,227.0,3830700.0,2.0,2,1,0,2,0,7
2013-04-12,227.0,229.0,225.0,229.0,2868900.0,7.0,2,1,0,0,0,7
2013-04-17,236.0,237.0,227.0,233.0,6594000.0,6.0,1,1,0,0,1,7
2013-04-18,230.0,232.0,228.0,229.0,3256500.0,1.0,1,1,0,0,0,7
2013-04-19,225.0,228.0,224.0,228.0,4652900.0,0.0,1,1,0,0,0,7
2013-04-22,229.0,230.0,224.0,227.0,8686700.0,-3.0,2,1,0,0,0,7
2013-04-23,224.0,228.0,220.0,224.0,8494100.0,-7.0,2,1,0,0,0,7
2013-04-24,227.0,228.0,223.0,224.0,7613300.0,-3.0,2,1,0,0,0,7
2013-04-25,225.0,225.0,220.0,223.0,6748600.0,2.0,2,1,0,0,0,7
2013-04-26,225.0,225.0,220.0,224.0,4847200.0,5.0,2,1,0,0,0,7
2013-04-29,224.0,224.0,220.0,221.0,4026500.0,-6.0,2,1,1,0,0,7
2013-04-30,223.0,226.0,222.0,226.0,4106700.0,-3.0,2,1,0,0,0,7
2013-05-02,226.0,226.0,222.0,222.0,4599600.0,-11.0,2,1,0,0,0,6
2013-05-03,224.0,225.0,220.0,222.0,2998500.0,-7.0,2,1,1,0,0,6
2013-05-07,223.0,228.0,221.0,228.0,8070800.0,0.0,2,1,0,0,0,6
2013-05-08,228.0,231.0,227.0,230.0,4852600.0,3.0,1,1,2,0,0,6
2013-05-09,228.0,228.0,221.0,224.0,7210500.0,0.0,2,1,0,0,0,6
2013-05-10,225.0,227.0,223.0,227.0,2860100.0,3.0,2,1,0,0,0,6
2013-05-13,226.0,227.0,224.0,225.0,1889600.0,2.0,2,1,0,0,0,6
2013-05-14,224.0,226.0,222.0,224.0,4402900.0,0.0,2,1,0,0,0,6
2013-05-15,224.0,226.0,223.0,224.0,2671200.0,3.0,2,1,0,0,0,6
2013-05-16,224.0,224.0,221.0,221.0,4430400.0,-5.0,2,1,1,0,2,6
2013-05-17,221.0,222.0,220.0,222.0,3243400.0,0.0,2,1,1,0,2,5
2013-05-20,224.0,224.0,219.0,221.0,4548200.0,-1.0,2,1,1,0,2,5
2013-05-21,220.0,221.0,218.0,219.0,3751800.0,-9.0,2,1,0,0,2,5
2013-05-22,219.0,224.0,219.0,220.0,2976900.0,-10.0,2,1,1,0,2,5
2013-05-23,219.0,219.0,213.0,216.0,6270100.0,-8.0,2,2,0,0,2,5
2013-05-27,214.0,215.0,210.0,210.0,4655100.0,-17.0,2,2,0,0,2,6
2013-05-28,210.0,213.0,210.0,212.0,2854500.0,-13.0,2,2,0,0,2,5
2013-05-29,210.0,212.0,208.0,208.0,5897000.0,-16.0,2,2,0,0,2,5
2013-05-30,206.0,206.0,203.0,203.0,6132800.0,-21.0,2,2,0,0,2,5
2013-05-31,205.0,206.0,201.0,205.0,7064900.0,-16.0,2,2,0,0,2,5
2013-06-03,203.0,206.0,201.0,204.0,5260800.0,-18.0,2,2,1,0,2,5
2013-06-04,203.0,208.0,197.5,206.0,9099300.0,-15.0,2,2,1,0,0,6
2013-06-05,205.0,205.0,201.0,203.0,3319100.0,-16.0,2,2,1,0,0,6
2013-06-06,201.0,204.0,199.5,204.0,5537900.0,-16.0,2,2,1,0,0,6
2013-06-07,202.0,205.0,201.0,204.0,5394200.0,-12.0,2,2,0,0,0,6
2013-06-10,205.0,207.0,204.0,204.0,4218100.0,-6.0,2,2,0,0,0,5
2013-06-11,202.0,202.0,194.5,194.5,11657000.0,-17.5,2,2,0,0,2,6
2013-06-12,190.0,193.5,187.5,191.0,11607800.0,-17.0,2,2,0,0,2,6
2013-06-13,183.5,191.0,181.5,191.0,21586800.0,-12.0,2,2,0,0,0,6
2013-06-14,195.0,199.5,194.5,198.0,10857400.0,-7.0,2,2,0,0,0,6
2013-06-17,198.0,199.0,194.5,195.5,5883500.0,-8.5,2,2,0,0,0,6
2013-06-18,196.5,201.0,189.5,189.5,8341500.0,-16.5,2,2,1,0,0,7
2013-06-19,194.5,194.5,190.5,191.5,8229000.0,-11.5,2,2,1,1,0,7
2013-06-20,186.0,187.5,185.0,187.0,8898400.0,-17.0,2,2,0,0,0,7
2013-06-21,184.5,190.0,182.0,186.0,8271500.0,-18.0,2,2,1,0,2,7
2013-06-24,186.0,189.0,183.5,183.5,4681100.0,-20.5,2,2,1,0,2,7
2013-06-25,185.0,192.5,182.0,188.0,5944900.0,-6.5,2,2,0,0,0,7
2013-06-26,191.5,195.5,189.5,194.0,5306900.0,3.0,1,2,0,0,0,7
2013-06-27,200.0,204.0,196.5,204.0,7634300.0,13.0,1,2,2,0,1,7
2013-06-28,206.0,207.0,200.0,204.0,7141800.0,6.0,1,2,0,0,1,7
2013-07-02,207.0,209.0,205.0,208.0,8612200.0,12.5,1,2,0,0,1,7
2013-07-03,204.0,205.0,197.0,197.0,9296900.0,7.5,1,2,0,0,0,8
2013-07-04,199.5,201.0,194.0,195.5,6087400.0,4.0,1,2,0,0,0,8
2013-07-05,197.5,199.0,195.0,197.5,3678200.0,10.5,1,2,0,0,0,7
2013-07-08,195.0,195.0,189.0,189.0,5764800.0,3.0,1,2,0,0,0,7
2013-07-09,189.0,191.0,187.0,188.0,4603200.0,4.5,1,2,0,0,0,7
2013-07-10,189.0,192.5,188.5,191.0,4640000.0,3.0,1,2,0,0,0,7
2013-07-11,194.5,206.0,194.5,205.0,10658100.0,11.0,1,2,0,0,1,8
2013-07-12,207.0,208.0,200.0,202.0,6794000.0,-2.0,1,2,0,0,0,8
2013-07-15,206.0,206.0,201.0,202.0,4151300.0,-2.0,1,2,0,0,0,8
2013-07-16,203.0,204.0,200.0,202.0,3078700.0,-6.0,1,2,0,0,0,7
2013-07-17,204.0,207.0,202.0,207.0,3598600.0,10.0,1,2,2,0,1,7
2013-07-18,207.0,212.0,207.0,212.0,7573900.0,16.5,1,2,0,0,1,7
2013-07-19,212.0,213.0,207.0,208.0,6473100.0,10.5,1,2,2,2,1,7
2013-07-23,212.0,212.0,205.0,212.0,6340400.0,23.0,1,1,2,0,1,7
2013-07-24,210.0,211.0,206.0,207.0,4516600.0,19.0,1,1,0,0,0,7
2013-07-25,205.0,207.0,201.0,201.0,6182100.0,10.0,1,1,0,2,0,7
2013-07-26,201.0,205.0,199.0,205.0,5385300.0,0.0,1,1,0,0,0,7
2013-07-29,203.0,206.0,203.0,203.0,3177300.0,1.0,1,1,0,2,0,7
