Date,Open,High,Low,Close,Volume,MOM,Decis_macd,Decis_ema,Decis_cci,Decis_roc,Decis_wpr,Decis_atr
2012-11-12,40.75,41.0,40.5,40.75,21142400.0,1.5,2,1,0,0,1,1
2012-11-13,40.75,40.75,40.25,40.25,12010600.0,0.5,2,1,0,0,0,1
2012-11-14,40.5,41.25,40.25,40.5,20379300.0,0.75,2,1,2,0,0,1
2012-11-15,40.5,40.75,39.75,40.25,12188400.0,0.25,2,1,0,0,0,1
2012-11-16,40.25,40.5,40.0,40.5,9343300.0,-0.25,2,1,0,0,0,1
2012-11-19,40.5,41.0,40.25,40.75,9934100.0,0.0,2,1,2,0,0,1
2012-11-20,40.75,41.25,40.5,40.75,12745400.0,0.5,2,1,2,0,0,1
2012-11-21,40.75,40.75,39.75,40.0,15098800.0,0.25,2,1,0,0,0,1
2012-11-22,40.0,40.25,39.0,39.0,20535000.0,-0.75,2,1,0,0,2,1
2012-11-23,38.0,40.0,37.75,40.0,32366600.0,-0.25,2,1,0,0,0,1
2012-11-26,40.25,40.75,39.5,40.75,24927200.0,0.0,2,1,0,0,1,2
2012-11-27,40.75,41.0,40.25,40.5,24007900.0,0.25,2,1,0,0,0,1
2012-11-28,40.25,40.75,40.0,40.75,17146800.0,0.25,2,1,0,0,1,1
2012-11-29,39.25,39.75,39.0,39.5,51272600.0,-0.75,2,1,0,0,0,2
2012-11-30,39.25,40.25,39.0,39.5,48532400.0,-1.0,2,1,1,0,0,2
2012-12-03,39.75,40.75,39.5,40.25,14000000.0,-0.5,2,1,0,0,0,2
2012-12-04,40.5,40.5,39.75,40.25,7587800.0,-0.5,2,1,0,0,0,2
2012-12-06,40.5,41.0,40.25,40.5,24395200.0,0.5,2,1,0,0,0,2
2012-12-07,40.75,41.0,40.0,41.0,21535000.0,2.0,2,1,0,0,1,2
2012-12-11,42.25,42.5,41.5,42.0,42850500.0,2.0,1,1,0,0,1,2
2012-12-12,42.25,42.5,41.75,42.5,20685900.0,1.75,1,1,0,0,1,2
2012-12-13,42.25,42.5,41.75,42.0,21073600.0,1.5,1,1,0,0,1,2
2012-12-14,42.5,44.5,42.5,43.75,51286000.0,3.0,1,1,0,0,1,2
2012-12-17,44.0,45.25,43.75,45.25,47330300.0,5.75,1,1,0,0,1,2
2012-12-18,46.0,46.25,45.0,46.25,30226900.0,6.75,1,1,0,0,1,2
2012-12-19,46.25,47.0,46.0,47.0,28395700.0,6.75,1,1,0,0,1,2
2012-12-20,46.75,47.0,45.75,46.5,32431900.0,6.25,1,1,0,0,1,2
2012-12-21,45.75,46.0,45.0,45.25,28959600.0,4.75,1,1,0,0,0,2
2012-12-24,45.25,45.5,44.25,44.75,17677200.0,3.75,1,1,0,0,0,2
2012-12-25,44.75,44.75,44.0,44.25,12959400.0,2.25,1,1,0,0,0,2
2012-12-26,44.25,46.25,44.25,46.0,19901400.0,3.5,1,1,0,0,1,2
2012-12-27,46.25,47.25,45.75,46.25,47436200.0,4.25,1,1,2,0,1,2
2012-12-28,46.25,46.5,45.25,46.0,20120400.0,2.25,1,1,0,0,0,2
2013-01-02,46.25,46.25,45.75,45.75,8795700.0,0.5,1,1,0,0,0,2
2013-01-03,46.0,46.0,44.5,44.5,23589400.0,-1.75,2,1,0,0,0,2
2013-01-04,44.25,44.75,44.0,44.75,24372100.0,-2.25,2,1,0,0,0,2
2013-01-07,45.0,45.5,44.5,45.25,13661900.0,-1.25,2,1,0,0,0,2
2013-01-08,45.25,46.0,45.0,46.0,15380400.0,0.75,2,1,0,0,0,2
2013-01-09,46.5,46.5,45.5,45.75,11582900.0,1.0,2,1,0,0,0,2
2013-01-10,46.0,46.0,44.75,45.0,17749100.0,0.75,2,1,0,0,0,2
2013-01-11,45.0,45.25,44.25,45.0,22115300.0,-1.0,2,1,0,0,0,2
2013-01-14,45.0,45.25,44.5,45.25,11722500.0,-1.0,2,1,0,0,0,2
2013-01-15,45.25,45.25,44.75,45.25,9214000.0,-0.75,2,1,0,0,0,2
2013-01-16,45.25,45.25,44.25,44.75,12674100.0,-1.0,2,1,1,0,0,2
2013-01-17,45.0,45.75,44.75,45.75,16109900.0,1.25,2,1,0,0,0,2
2013-01-18,45.75,46.5,45.25,46.25,29020800.0,1.5,2,1,2,0,1,2
2013-01-21,46.5,48.0,46.5,47.5,31871000.0,2.25,2,1,0,0,1,2
2013-01-22,47.75,48.5,47.5,47.75,20314500.0,1.75,1,1,0,0,1,2
2013-01-23,47.75,48.0,47.0,48.0,18060700.0,2.25,1,1,0,2,1,2
2013-01-24,48.5,48.5,47.75,48.0,29283500.0,3.0,1,1,0,0,1,2
2013-01-25,48.25,49.25,48.0,49.0,30046500.0,4.0,1,1,0,0,1,2
2013-01-28,49.0,49.25,48.0,48.25,20464300.0,3.0,1,1,2,0,0,2
2013-01-29,48.75,48.75,47.75,48.0,31495000.0,2.75,1,1,0,0,0,2
2013-01-30,48.0,48.25,47.25,47.25,33075800.0,2.5,1,1,0,0,0,2
2013-01-31,46.75,47.0,46.5,46.75,30685700.0,1.0,2,1,0,0,0,2
2013-02-01,47.5,47.75,47.0,47.5,16927600.0,1.25,2,1,0,2,0,2
2013-02-04,48.0,48.75,48.0,48.5,19604600.0,1.0,2,1,0,2,1,2
2013-02-05,48.0,48.0,47.5,47.75,17451400.0,0.0,2,1,0,0,0,2
2013-02-06,47.75,48.0,47.0,47.0,16323800.0,-1.0,2,1,0,0,0,2
2013-02-07,47.0,47.25,46.5,47.0,13165800.0,-1.0,2,1,1,0,2,2
2013-02-08,47.0,47.25,46.25,47.0,28656000.0,-2.0,2,1,1,0,0,2
2013-02-11,47.25,48.0,47.0,47.25,17627400.0,-1.0,2,1,0,0,0,2
2013-02-12,47.75,48.25,47.5,47.75,7594500.0,-0.25,2,1,0,0,0,2
2013-02-13,48.25,48.5,47.75,48.25,13029000.0,1.0,2,1,0,0,0,2
2013-02-14,48.5,48.5,47.5,48.25,12493800.0,1.5,2,1,0,0,0,2
2013-02-15,48.25,48.75,48.0,48.5,11129400.0,1.0,2,1,2,0,1,1
2013-02-18,48.5,49.75,48.25,49.25,21634400.0,0.75,1,1,0,0,1,2
2013-02-19,49.5,50.0,49.25,49.5,10642400.0,1.75,1,1,0,0,1,2
2013-02-20,50.0,52.0,49.25,52.0,53425000.0,5.0,1,1,0,0,1,2
2013-02-21,51.25,51.75,49.25,49.75,34448800.0,2.75,1,1,0,0,0,2
2013-02-22,48.0,48.25,47.5,47.75,161821800.0,0.75,1,1,0,0,0,2
2013-02-26,47.75,47.75,46.5,46.75,84117800.0,-0.5,2,1,1,0,2,2
2013-02-27,47.25,47.25,46.75,46.75,30578300.0,-1.0,2,1,1,0,2,2
2013-02-28,47.0,47.25,46.75,47.25,25418500.0,-1.0,2,1,0,0,2,2
2013-03-01,47.25,48.0,47.25,47.75,21211100.0,-0.5,2,1,0,0,0,2
2013-03-04,47.5,47.75,46.75,47.0,23250800.0,-1.5,2,1,0,0,2,2
2013-03-05,48.0,48.0,47.25,47.75,17402900.0,-1.5,2,1,0,0,0,2
2013-03-06,47.75,47.75,47.25,47.5,10907700.0,-2.0,2,1,0,0,2,2
2013-03-07,47.75,47.75,47.25,47.5,12968100.0,-4.5,2,1,0,0,2,2
2013-03-08,47.75,47.75,47.0,47.25,12983800.0,-2.5,2,1,0,0,2,2
2013-03-11,47.25,47.5,46.5,46.5,24415300.0,-1.25,2,1,0,0,2,2
2013-03-12,46.5,46.75,45.0,45.5,45865900.0,-1.25,2,1,0,0,2,2
2013-03-13,45.25,46.75,45.0,46.75,26854500.0,0.0,2,1,0,0,0,2
