Date,Open,High,Low,Close,Volume,MOM,Decis_macd,Decis_ema,Decis_cci,Decis_roc,Decis_wpr,Decis_atr
2012-11-12,180.0,182.5,180.0,182.5,1115200.0,8.0,1,2,0,0,1,4
2012-11-13,182.5,182.5,179.0,179.5,6368200.0,2.5,1,2,2,0,0,4
2012-11-14,179.5,180.5,177.0,177.0,4142500.0,-2.0,1,2,0,0,0,4
2012-11-15,175.5,177.5,175.0,176.0,4788600.0,-2.5,1,2,1,0,0,4
2012-11-16,176.5,178.5,176.5,178.0,3450600.0,-1.0,1,2,0,0,0,4
2012-11-19,179.0,179.5,177.5,177.5,3057600.0,0.0,2,2,0,0,0,3
2012-11-20,178.5,180.0,178.5,179.0,3169800.0,2.5,1,2,0,0,0,3
2012-11-21,179.5,179.5,176.5,179.0,2366400.0,1.0,1,2,0,0,0,3
2012-11-22,179.5,181.0,179.5,181.0,5866400.0,3.0,1,1,0,0,0,3
2012-11-23,181.5,182.0,180.5,182.0,2833700.0,2.5,1,1,0,0,1,3
2012-11-26,182.5,183.0,181.0,181.0,3820400.0,-1.5,1,1,2,0,0,3
2012-11-27,181.0,182.0,180.5,181.5,3524600.0,2.0,1,1,2,0,1,3
2012-11-28,181.0,181.0,179.5,179.5,4380300.0,2.5,1,1,0,0,0,3
2012-11-29,181.0,184.0,180.5,183.0,5783300.0,7.0,1,1,2,0,1,3
2012-11-30,183.5,187.0,183.0,187.0,9475500.0,9.0,1,1,0,2,1,3
2012-12-03,187.0,188.5,186.0,187.5,5455300.0,10.0,1,1,0,0,1,3
2012-12-04,187.0,188.5,186.5,187.0,3004700.0,8.0,1,1,0,0,1,3
2012-12-06,186.5,196.0,186.5,194.5,7646600.0,15.5,1,1,0,0,1,4
2012-12-07,195.5,200.0,195.0,198.0,6485500.0,17.0,1,1,0,0,1,4
2012-12-11,200.0,203.0,195.5,196.0,9726300.0,14.0,1,1,0,0,0,4
2012-12-12,197.0,197.5,193.0,194.5,8183800.0,13.5,1,1,2,0,0,4
2012-12-13,194.5,196.5,194.5,196.0,3741900.0,14.5,1,1,2,0,0,4
2012-12-14,195.0,197.5,194.0,196.0,5744400.0,16.5,1,1,0,0,0,4
2012-12-17,196.5,197.0,194.0,194.0,4488900.0,11.0,1,1,0,0,0,4
2012-12-18,195.5,196.0,190.5,192.0,10786400.0,5.0,1,1,0,0,0,4
2012-12-19,192.5,194.0,192.0,193.5,8065700.0,6.0,1,1,0,2,0,4
2012-12-20,193.0,194.5,192.0,194.0,4861900.0,7.0,1,1,0,0,0,4
2012-12-21,192.5,193.0,190.5,191.0,5598500.0,-3.5,2,1,0,0,0,4
2012-12-24,191.0,193.0,191.0,192.0,2875800.0,-6.0,2,1,0,0,0,4
2012-12-25,192.5,194.0,191.5,194.0,3483800.0,-2.0,2,1,0,0,0,4
2012-12-26,194.0,194.5,192.5,193.0,2251600.0,-1.5,2,1,0,0,0,4
2012-12-27,192.5,194.5,191.5,193.5,5438600.0,-2.5,2,1,0,0,0,4
2012-12-28,193.5,194.5,193.0,193.5,3424700.0,-2.5,2,1,0,0,0,4
2013-01-02,194.0,197.0,194.0,196.0,4780900.0,2.0,2,1,2,0,0,4
2013-01-03,196.0,199.5,194.5,198.0,7618700.0,6.0,2,1,0,0,1,4
2013-01-04,198.0,199.0,196.5,199.0,5332100.0,5.5,1,1,0,0,1,4
2013-01-07,200.0,200.0,197.0,197.0,4133800.0,3.0,2,1,0,0,0,4
2013-01-08,197.0,202.0,197.0,199.0,7471500.0,8.0,1,1,0,0,0,4
2013-01-09,199.5,201.0,199.0,199.0,5203300.0,7.0,1,1,0,0,0,4
2013-01-10,200.0,201.0,196.0,197.0,7086200.0,3.0,2,1,0,0,0,4
2013-01-11,196.5,197.0,193.5,194.5,7163500.0,1.5,2,1,0,0,0,4
2013-01-14,195.0,195.0,194.0,194.0,4212300.0,0.5,2,1,0,0,0,4
2013-01-15,194.5,196.0,192.0,192.5,4536200.0,-1.0,2,1,0,0,2,4
2013-01-16,193.0,194.5,192.5,192.5,2202900.0,-3.5,2,1,1,0,2,4
2013-01-17,194.0,194.0,190.0,192.0,4464000.0,-6.0,2,1,1,0,2,4
2013-01-18,193.0,195.5,193.0,194.0,3847800.0,-5.0,2,1,0,0,0,4
2013-01-21,195.0,195.5,193.5,194.5,2270200.0,-2.5,2,1,0,0,0,4
2013-01-22,194.5,196.5,193.0,193.0,4645800.0,-6.0,2,1,0,0,0,4
2013-01-23,194.5,194.5,191.0,192.0,5094200.0,-7.0,2,1,1,0,2,4
2013-01-24,192.5,192.5,191.0,192.0,4240800.0,-5.0,2,1,1,0,2,4
2013-01-25,192.5,197.0,191.5,196.5,6380200.0,2.0,2,1,0,0,0,4
2013-01-28,197.5,198.5,196.0,197.5,6768000.0,3.5,2,1,2,0,0,4
2013-01-29,199.0,199.5,196.5,198.5,6299200.0,6.0,1,1,0,0,0,4
2013-01-30,198.0,198.5,195.5,197.5,4710400.0,5.0,1,1,0,0,0,4
2013-01-31,197.5,199.0,197.0,198.5,5337000.0,6.5,1,1,0,0,1,4
2013-02-01,198.5,205.0,198.0,205.0,8869100.0,11.0,1,1,0,2,1,4
2013-02-04,208.0,211.0,204.0,209.0,9278800.0,14.5,1,1,0,0,1,4
2013-02-05,206.0,209.0,206.0,208.0,4898700.0,15.0,1,1,0,0,1,4
2013-02-06,206.0,209.0,203.0,209.0,5100300.0,17.0,1,1,0,0,1,4
2013-02-07,205.0,206.0,200.0,203.0,7616100.0,11.0,1,1,0,0,0,5
2013-02-08,202.0,206.0,202.0,205.0,3773400.0,8.5,1,1,0,0,0,5
2013-02-11,204.0,204.0,200.0,200.0,1809200.0,2.5,1,1,0,0,0,5
2013-02-12,200.0,202.0,198.0,199.0,4688800.0,0.5,2,1,0,0,0,5
2013-02-13,201.0,204.0,200.0,204.0,4717600.0,6.5,2,1,0,0,0,5
2013-02-14,205.0,206.0,202.0,203.0,2703600.0,4.5,2,1,0,0,0,5
2013-02-15,203.0,205.0,202.0,203.0,3001200.0,-2.0,2,1,0,0,0,5
2013-02-18,204.0,207.0,203.0,203.0,4391100.0,-6.0,2,1,0,0,0,5
2013-02-19,204.0,209.0,203.0,208.0,3733200.0,0.0,2,1,2,0,0,5
2013-02-20,210.0,215.0,209.0,215.0,6576000.0,6.0,1,1,0,0,1,5
2013-02-21,213.0,214.0,209.0,212.0,5628500.0,9.0,1,1,0,0,1,5
2013-02-22,210.0,212.0,208.0,210.0,4973400.0,5.0,1,1,2,0,0,5
2013-02-26,208.0,210.0,207.0,209.0,3179700.0,9.0,1,1,0,0,0,5
2013-02-27,210.0,211.0,205.0,206.0,3813100.0,7.0,1,1,0,0,0,5
2013-02-28,206.0,214.0,206.0,212.0,4328000.0,8.0,1,1,2,2,1,5
2013-03-01,215.0,220.0,214.0,217.0,6513200.0,14.0,1,1,0,0,1,6
2013-03-04,220.0,223.0,217.0,219.0,4935000.0,16.0,1,1,0,0,1,6
2013-03-05,220.0,221.0,215.0,215.0,3925100.0,12.0,1,1,2,2,0,6
2013-03-06,217.0,218.0,214.0,217.0,3990200.0,9.0,1,1,2,0,0,6
