Date,Open,High,Low,Close,Volume,MOM,Decis_macd,Decis_ema,Decis_cci,Decis_roc,Decis_wpr,Decis_atr
2012-11-12,165.5,166.5,164.5,164.5,1940500.0,7.0930023193359375,1,1,0,0,0,4
2012-11-13,165.0,167.0,164.5,166.0,2231400.0,4.207000732421875,1,1,0,0,0,3
2012-11-14,166.0,166.5,162.5,162.5,1556600.0,0.707000732421875,1,1,0,0,0,4
2012-11-15,162.0,163.0,159.5,160.5,1765900.0,0.656005859375,2,1,0,0,0,4
2012-11-16,160.0,162.5,160.0,162.0,3154200.0,-2.2299957275390625,2,1,0,0,0,4
2012-11-19,161.0,162.5,159.5,160.5,1243700.0,-4.2169952392578125,2,1,1,0,2,4
2012-11-20,162.0,162.5,160.0,160.0,1862300.0,-4.2299957275390625,2,1,1,0,2,4
2012-11-21,160.0,160.5,158.0,159.0,1665500.0,-4.7429962158203125,2,1,0,0,2,3
2012-11-22,158.0,159.5,157.5,157.5,1703300.0,-7.0,2,1,0,0,2,3
2012-11-23,157.5,158.5,157.5,158.5,1490000.0,-6.5,2,1,1,0,2,3
2012-11-26,158.0,159.5,156.5,157.0,3028500.0,-7.5,2,1,1,0,2,3
2012-11-27,156.0,158.0,154.5,155.0,5076300.0,-11.0,2,1,0,1,2,3
2012-11-28,154.0,155.0,153.0,154.5,6909200.0,-8.0,2,1,0,1,2,3
2012-11-29,153.5,154.0,152.0,154.0,10019700.0,-6.5,2,1,0,0,2,3
2012-11-30,157.0,160.5,156.5,159.0,16258700.0,-3.0,2,1,0,0,0,4
2012-12-03,159.0,160.5,158.0,159.5,5299700.0,-1.0,2,1,0,0,0,3
2012-12-04,159.5,159.5,155.0,156.5,7641500.0,-3.5,2,1,0,0,0,4
2012-12-06,158.0,158.5,155.5,155.5,6953100.0,-3.5,2,1,0,0,0,4
2012-12-07,156.0,156.0,152.0,153.0,13562900.0,-4.5,2,1,0,0,2,4
2012-12-11,151.0,154.0,150.0,153.5,13213400.0,-5.0,2,2,0,0,0,4
2012-12-12,155.5,157.5,155.5,157.5,9399900.0,0.5,2,1,0,0,0,4
