Date,Open,High,Low,Close,Volume,MOM,Decis_macd,Decis_ema,Decis_cci,Decis_roc,Decis_wpr,Decis_atr
2012-11-12,161.0,161.0,158.5,159.5,1532300.0,1.5,2,2,0,0,0,3
2012-11-13,159.0,159.0,157.0,157.5,3256300.0,-3.0,2,2,1,0,0,3
2012-11-14,158.0,159.0,155.5,157.0,4645000.0,-4.0,2,2,1,0,0,3
2012-11-15,155.5,159.0,155.5,158.5,5991300.0,-2.0,2,2,0,0,0,3
2012-11-16,158.5,159.0,156.0,157.5,5305900.0,-4.5,2,2,0,0,0,3
2012-11-19,156.5,157.5,155.5,156.5,4061500.0,-3.5,2,2,1,0,2,3
2012-11-20,157.5,157.5,155.0,155.5,3212200.0,-2.0,2,2,1,0,2,3
2012-11-21,155.5,157.5,155.5,157.0,5509200.0,-0.5,2,2,1,0,0,3
2012-11-22,158.0,159.0,156.5,159.0,7163300.0,0.0,2,2,0,0,0,3
2012-11-23,159.0,159.0,156.5,156.5,5251400.0,-3.5,2,2,0,0,0,3
2012-11-26,157.0,159.0,156.5,158.5,6775800.0,-1.0,1,2,0,0,0,3
2012-11-27,159.0,161.0,158.5,160.5,6975600.0,3.0,1,2,0,0,1,3
2012-11-28,159.5,161.5,159.5,160.5,3103400.0,3.5,1,2,0,0,1,3
2012-11-29,161.5,162.5,160.0,162.5,5451900.0,4.0,1,2,0,0,1,3
2012-11-30,163.0,166.0,162.0,162.5,16446500.0,5.0,1,2,0,0,0,3
2012-12-03,163.0,165.0,162.5,164.5,5306700.0,8.0,1,1,0,0,1,3
2012-12-04,166.0,166.0,162.5,164.0,3134300.0,8.5,1,1,0,0,1,3
2012-12-06,165.0,169.5,164.5,169.0,12680700.0,12.0,1,1,0,0,1,3
2012-12-07,170.0,172.5,169.5,171.0,9508900.0,12.0,1,1,0,0,1,4
2012-12-11,172.0,178.0,171.5,175.5,13442000.0,19.0,1,1,0,0,1,4
2012-12-12,176.0,176.5,172.5,174.0,5850900.0,15.5,1,1,0,0,1,4
2012-12-13,176.5,177.0,174.0,175.5,7160700.0,15.0,1,1,0,0,1,4
2012-12-14,174.5,176.5,173.5,175.5,5964500.0,15.0,1,1,2,0,1,4
2012-12-17,176.5,176.5,175.0,176.0,3705500.0,13.5,1,1,2,0,1,4
2012-12-18,177.0,177.0,173.5,176.0,5321900.0,13.5,1,1,0,0,1,4
2012-12-19,176.5,178.5,176.0,178.5,5512500.0,14.0,1,1,2,0,1,4
2012-12-20,178.0,179.5,177.0,179.5,7261200.0,15.5,1,1,2,0,1,4
2012-12-21,178.0,179.0,176.5,178.0,5452300.0,9.0,1,1,0,0,1,4
2012-12-24,177.5,178.0,176.0,176.5,3153100.0,5.5,1,1,0,0,1,4
2012-12-25,176.5,177.5,176.5,177.5,1291500.0,2.0,1,1,0,0,1,3
2012-12-26,177.5,178.5,176.5,177.5,1088000.0,3.5,1,1,0,0,1,3
2012-12-27,177.5,179.5,176.5,179.5,3157800.0,4.0,1,1,2,0,1,3
2012-12-28,181.0,182.0,180.0,181.5,3928500.0,6.0,1,1,0,0,1,3
2013-01-02,183.5,186.0,183.0,184.5,3177900.0,8.5,1,1,0,0,1,3
2013-01-03,184.5,185.0,181.5,182.0,6579000.0,6.0,1,1,0,0,0,3
2013-01-04,181.0,184.0,180.0,184.0,4319000.0,5.5,1,1,2,0,1,4
2013-01-07,184.5,184.5,181.0,181.0,2460900.0,1.5,1,1,0,0,0,4
2013-01-08,182.0,183.5,181.0,183.5,2896700.0,5.5,1,1,0,0,0,4
2013-01-09,184.0,184.5,183.0,183.5,2546800.0,7.0,2,1,2,0,0,3
2013-01-10,183.5,185.0,180.0,180.5,3972900.0,3.0,2,1,0,0,0,4
2013-01-11,178.5,179.5,174.5,175.5,16675200.0,-2.0,2,1,1,0,2,4
2013-01-14,176.0,176.5,175.0,176.0,4325700.0,-3.5,2,1,1,0,2,4
2013-01-15,176.5,176.5,174.0,176.0,3159000.0,-5.5,2,1,1,0,2,4
2013-01-16,175.5,176.0,171.5,172.5,6013100.0,-12.0,2,1,0,0,2,4
2013-01-17,174.0,174.0,170.5,171.5,6589400.0,-10.5,2,1,0,1,2,4
2013-01-18,172.5,176.0,172.5,175.0,3617500.0,-9.0,2,1,0,0,0,4
2013-01-21,175.0,176.5,174.5,176.0,1842800.0,-5.0,2,1,0,0,0,4
2013-01-22,176.0,178.0,175.5,176.5,3811400.0,-7.0,2,1,0,0,0,4
2013-01-23,177.0,177.5,174.0,175.0,3418300.0,-8.5,2,1,0,0,0,4
2013-01-24,176.0,176.5,174.0,176.0,2039600.0,-4.5,2,1,0,0,0,4
2013-01-25,176.0,179.5,176.0,178.0,7519600.0,2.5,2,1,0,0,0,4
2013-01-28,179.0,181.0,178.5,180.5,6376000.0,4.5,2,1,2,0,0,4
2013-01-29,181.5,181.5,179.0,179.5,3003700.0,3.5,2,1,2,0,0,4
2013-01-30,179.0,181.0,177.5,181.0,4135700.0,8.5,1,1,0,0,1,4
2013-01-31,179.0,181.5,178.0,179.0,5048200.0,7.5,1,1,2,0,0,4
2013-02-01,179.5,181.0,178.0,181.0,7210600.0,6.0,1,1,2,0,1,4
2013-02-04,181.5,182.5,179.5,180.5,10864200.0,4.5,1,1,2,0,1,4
2013-02-05,179.0,180.0,178.5,180.0,6194900.0,3.5,1,1,0,0,0,4
2013-02-06,181.0,181.0,178.5,178.5,5197900.0,3.5,2,1,0,0,0,4
2013-02-07,179.0,179.5,176.0,176.5,7115500.0,0.5,2,1,0,0,0,4
2013-02-08,175.5,176.0,173.0,174.0,9548500.0,-4.0,2,1,0,0,2,4
2013-02-11,174.0,174.0,170.5,170.5,3184500.0,-10.0,2,1,0,0,2,4
2013-02-12,170.0,172.0,169.0,169.5,5930100.0,-10.0,2,1,0,0,2,4
2013-02-13,171.0,174.0,171.0,174.0,11360000.0,-7.0,2,1,1,0,0,4
2013-02-14,174.5,174.5,172.5,173.0,5613700.0,-6.0,2,1,0,0,0,4
2013-02-15,172.5,173.5,171.0,173.0,6431300.0,-8.0,2,2,0,0,0,4
2013-02-18,172.5,173.0,171.5,172.0,5541800.0,-8.5,2,2,0,0,0,3
2013-02-19,172.0,174.0,172.0,173.5,5392000.0,-6.5,2,2,0,0,0,3
2013-02-20,174.0,176.0,173.5,175.5,12623500.0,-3.0,2,2,0,0,0,3
2013-02-21,176.0,176.5,174.0,175.0,8411100.0,-1.5,2,2,0,0,0,3
2013-02-22,176.0,178.0,175.5,178.0,6220500.0,4.0,1,1,0,0,0,3
2013-02-26,176.0,178.0,174.5,178.0,7876700.0,7.5,1,1,0,0,0,3
2013-02-27,176.5,177.0,174.0,174.0,5607800.0,4.5,1,1,0,0,0,3
2013-02-28,175.0,178.0,173.0,178.0,7560700.0,4.0,1,1,2,0,1,4
2013-03-01,179.0,179.0,177.0,178.0,7363700.0,5.0,1,1,0,0,1,4
2013-03-04,179.0,179.0,177.0,178.5,6664200.0,5.5,1,1,2,0,1,3
2013-03-05,180.0,180.0,177.0,177.0,3702900.0,5.0,1,1,2,0,0,3
2013-03-06,179.0,179.5,178.0,179.0,4147900.0,5.5,1,1,2,0,1,3
2013-03-07,179.0,179.5,176.0,178.0,3472000.0,2.5,1,1,0,0,0,3
2013-03-08,179.5,179.5,177.0,178.5,3788300.0,3.5,1,1,0,0,1,3
2013-03-11,179.0,179.5,176.5,177.0,4770300.0,-1.0,1,1,0,0,0,3
2013-03-12,177.5,178.5,177.0,178.5,3535000.0,0.5,1,1,0,0,0,3
2013-03-13,179.5,179.5,177.5,179.5,2988300.0,5.5,1,1,2,0,1,3
2013-03-14,179.0,182.0,177.5,182.0,6010400.0,4.0,1,1,0,0,1,3
2013-03-15,183.5,187.0,183.0,187.0,9604500.0,9.0,1,1,0,0,1,4
2013-03-18,185.5,186.5,183.0,186.0,6262000.0,7.5,1,1,0,0,1,4
2013-03-19,187.5,187.5,181.0,181.0,5672600.0,4.0,1,1,2,0,0,4
2013-03-20,180.5,180.5,175.0,175.0,9252800.0,-4.0,1,1,1,0,2,4
2013-03-21,176.0,176.0,172.0,172.5,5581000.0,-5.5,2,1,0,0,2,4
2013-03-22,173.0,175.0,170.0,170.0,9373600.0,-8.5,2,1,0,0,2,4
2013-03-25,173.0,177.5,172.0,176.0,6235900.0,-1.0,2,1,1,0,0,4
2013-03-26,175.5,178.5,174.5,177.5,3877000.0,-1.0,2,1,0,0,0,4
2013-03-27,179.0,181.5,178.5,180.0,5317600.0,0.5,2,1,0,0,0,4
2013-03-28,180.0,181.0,177.0,177.5,6285000.0,-4.5,2,1,0,0,0,4
