Date,Open,High,Low,Close,Volume,MOM,Decis_macd,Decis_ema,Decis_cci,Decis_roc,Decis_wpr,Decis_atr
2013-03-13,486.0,494.0,480.0,480.0,704400.0,20.0,1,1,2,0,0,13
2013-03-14,480.0,490.0,478.0,488.0,496100.0,24.0,1,1,0,0,0,13
2013-03-15,494.0,500.0,484.0,500.0,1208700.0,36.0,1,1,2,0,1,13
2013-03-18,494.0,498.0,492.0,498.0,743100.0,42.0,1,1,2,0,1,13
2013-03-19,496.0,500.0,482.0,492.0,1824400.0,32.0,1,1,0,2,1,13
2013-03-20,492.0,494.0,478.0,482.0,1766900.0,8.0,1,1,0,2,0,13
2013-03-21,484.0,484.0,476.0,478.0,821600.0,8.0,2,1,0,0,0,13
2013-03-22,474.0,478.0,452.0,462.0,2960700.0,-26.0,2,1,0,0,0,14
2013-03-25,462.0,474.0,460.0,472.0,1390800.0,-22.0,2,1,1,0,0,14
2013-03-26,474.0,474.0,464.0,470.0,673500.0,-20.0,2,1,1,0,0,14
2013-03-27,472.0,502.0,472.0,496.0,2450400.0,16.0,2,1,0,0,1,15
2013-03-28,492.0,496.0,478.0,480.0,1852900.0,-8.0,2,1,0,0,0,15
2013-03-29,484.0,490.0,484.0,490.0,603300.0,-10.0,2,1,0,0,0,15
2013-04-01,490.0,490.0,482.0,486.0,1233500.0,-12.0,2,1,0,0,0,14
2013-04-02,480.0,484.0,474.0,480.0,1146400.0,-12.0,2,1,0,0,0,14
2013-04-03,480.0,480.0,462.0,466.0,1356700.0,-16.0,2,1,1,1,0,15
2013-04-04,456.0,466.0,452.0,464.0,1773700.0,-14.0,2,1,0,1,0,15
2013-04-05,460.0,462.0,444.0,454.0,1909300.0,-8.0,2,1,0,1,2,15
2013-04-09,450.0,460.0,444.0,450.0,895200.0,-22.0,2,1,0,1,2,15
2013-04-10,454.0,454.0,434.0,450.0,2066200.0,-20.0,2,1,0,0,0,16
2013-04-11,452.0,462.0,448.0,462.0,1517300.0,-34.0,2,1,0,0,0,15
2013-04-12,458.0,462.0,456.0,462.0,1382800.0,-18.0,2,1,0,0,0,15
2013-04-17,454.0,460.0,446.0,454.0,2104000.0,-36.0,2,2,0,0,0,15
2013-04-18,450.0,454.0,448.0,452.0,941500.0,-34.0,2,2,0,1,0,14
2013-04-19,452.0,468.0,452.0,462.0,987600.0,-18.0,2,2,0,1,0,14
2013-04-22,470.0,486.0,468.0,486.0,2059300.0,20.0,1,1,2,0,1,15
2013-04-23,480.0,486.0,478.0,482.0,442800.0,18.0,1,1,2,0,1,15
2013-04-24,488.0,490.0,480.0,486.0,1292200.0,32.0,1,1,0,0,1,14
2013-04-25,482.0,490.0,480.0,490.0,1182500.0,40.0,1,1,0,2,1,14
2013-04-26,490.0,490.0,482.0,482.0,727400.0,32.0,1,1,2,2,1,14
2013-04-29,482.0,488.0,474.0,480.0,37300.0,18.0,1,1,0,0,1,14
2013-04-30,480.0,486.0,478.0,478.0,745900.0,16.0,1,1,0,2,0,13
2013-05-02,480.0,490.0,478.0,486.0,983300.0,32.0,1,1,0,0,1,13
2013-05-03,486.0,490.0,478.0,478.0,830700.0,26.0,1,1,0,0,0,13
2013-05-07,486.0,492.0,478.0,490.0,1601600.0,28.0,1,1,0,0,1,13
2013-05-08,490.0,492.0,484.0,488.0,1073400.0,2.0,1,1,0,0,1,13
2013-05-09,488.0,496.0,484.0,486.0,679000.0,4.0,1,1,2,0,0,13
2013-05-10,490.0,492.0,482.0,486.0,1295700.0,0.0,1,1,0,0,0,13
2013-05-13,486.0,490.0,480.0,486.0,501500.0,-4.0,1,1,0,0,0,13
2013-05-14,484.0,490.0,484.0,486.0,344100.0,4.0,1,1,0,0,0,12
2013-05-15,486.0,488.0,480.0,488.0,603200.0,8.0,1,1,0,0,0,12
2013-05-16,488.0,488.0,476.0,478.0,1063300.0,0.0,2,1,0,0,2,12
2013-05-17,474.0,474.0,466.0,466.0,2254300.0,-20.0,2,1,0,0,2,12
2013-05-20,470.0,478.0,466.0,472.0,868600.0,-6.0,2,1,0,0,0,12
2013-05-21,472.0,480.0,472.0,480.0,833400.0,-10.0,2,1,0,0,0,12
2013-05-22,480.0,480.0,474.0,474.0,787200.0,-14.0,2,1,0,0,0,11
2013-05-23,472.0,472.0,458.0,468.0,2016000.0,-18.0,2,1,0,0,0,12
